,MIX_AC_AS_avg_makespans,MIX_AC_AS_avg_completions,MIX_AC_AS_avg_slowdowns,MIX_AC_AS_global_step,MIX_AC_AS_tictoc
0,653.8333333333334,149.85882817688773,2.91643461057253,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=600>",7.174436092376709
1,650.0,152.79789627724614,2.9859280848156105,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=600>",7.4717628955841064
2,651.5833333333334,152.96725111595583,2.9982458110169747,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=600>",7.457409858703613
3,652.4166666666666,152.86689269301675,2.995696274980548,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=600>",7.983464002609253
4,650.25,153.81133713746118,3.015622193242338,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=600>",7.722574710845947
5,650.1666666666666,153.676032477963,3.0125644165817635,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=600>",7.544548273086548
6,650.25,156.43947333817803,3.100011766212456,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=600>",9.66440486907959
7,649.4166666666666,156.14735864283753,3.0850948262889943,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=600>",8.163112878799438
8,649.4166666666666,156.6428783560992,3.125253608243693,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=600>",7.826467037200928
9,649.1666666666666,155.9824840908662,3.095353510319679,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=600>",8.152415990829468
