,job_no,task_no,task_inst_num_mean,task_inst_cpu_mean,task_inst_cpu_std,task_memory_mean,task_memory_std,task_inst_duration_mean,task_inst_duration_std,random_tictoc,random_avg_makespans,makespan-random_env_now,random_global_step,random_avg_completions,random_avg_slowdowns,first_fit_tictoc,first_fit_avg_makespans,makespan-ff_env_now,first_fit_global_step,first_fit_avg_completions,first_fit_avg_slowdowns,tetris_tictoc,tetris_avg_makespans,makespan-tetris_env_now,tetris_global_step,tetris_avg_completions,tetris_avg_slowdowns
0,10,39,75.8974358974359,0.5875,0.1899835519196333,0.008795391630597286,0.004036949516815142,85.10160647936071,80.53063893048886,0.24815726280212402,684,684,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",115.31027735183117,10.60851441736488,0.34531474113464355,673,673,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",73.02822606977989,1.945277330451823,0.8676762580871582,693,693,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",92.77181581336964,7.033711688680601
1,10,50,71.82,0.892926761347814,0.19304990296376115,0.0069008346311497295,0.003611652716903549,60.83959899749373,66.02419688380557,0.3148317337036133,711,711,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",157.06290890822373,5.17008115057012,0.2867927551269531,718,718,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",86.38290890822368,1.7149018658302964,1.116002082824707,752,752,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",86.76290890822371,1.7162511315423534
2,10,35,59.34285714285714,0.6137698603755417,0.1805893390687719,0.00814780112760923,0.004132889474981791,80.43668753009148,58.792589179967216,0.2319657802581787,495,495,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",152.92389630085785,1.8003334104171207,0.15471291542053223,497,497,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",117.15246772942929,1.1906546878519784,0.3779270648956299,649,649,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",124.66675344371501,1.2880549888269928
3,10,72,46.763888888888886,0.6602316602316602,0.2233941933859436,0.00933321722802219,0.003449993884231622,82.77139845889846,57.30071067087785,0.33872270584106445,636,636,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",219.17563824065203,3.5493380623142072,0.39486002922058105,788,788,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",147.7173049073187,1.5546841433686205,1.6540038585662842,920,920,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",160.91174935176318,1.834671537577477
4,10,65,49.30769230769231,0.5,0.0,0.009520568227279607,0.003237960645564633,118.24347147798954,100.20631209440438,0.3341820240020752,995,995,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",146.22738416730996,1.7428584967417753,0.4028332233428955,1211,1211,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",100.61199955192534,1.1135494322379387,0.9475018978118896,959,959,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",120.24276878269455,1.2880686556473355
5,10,43,38.97674418604651,0.6137529832935561,0.202550111267884,0.010934510277764067,0.003883474565367241,93.57756563245825,55.8121361932306,0.23071718215942383,599,599,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",78.20021648696496,1.156079730981899,0.1274869441986084,599,599,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",64.59556532417427,1.0419131790547698,0.20090818405151367,590,590,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",67.47928625440683,1.057622966873579
6,10,45,51.77777777777778,0.6899141630901288,0.24267198479190044,0.009440444797521834,0.003766380781693533,84.56394849785407,79.40661642180194,0.29755330085754395,578,578,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",95.04416231078778,4.67257040768497,0.19826507568359375,535,535,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",62.26638453301001,1.5817887986860693,0.6111361980438232,594,594,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",62.51082897745446,1.7712830019368586
7,10,87,18.45977011494253,0.6957658779576589,0.24917198865758694,0.007413460878576408,0.002683378750079134,67.86538686057094,80.03853049116312,0.1403031349182129,296,296,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",50.7007950866519,2.4722818371573494,0.15227079391479492,296,296,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",38.27550773033006,1.0990116697758239,0.4191930294036865,296,296,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",38.87320887975536,1.11510860098974
8,10,38,68.42105263157895,0.556923076923077,0.15881215877617158,0.010192183247084497,0.0037096497834768027,101.81215106000822,129.58402067317058,0.3153550624847412,777,777,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",71.03260138324579,1.441480987388852,0.19431710243225098,777,777,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",66.55891717271949,1.5324973532408748,0.3013029098510742,777,777,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",67.29575927798264,1.2015452931407922
9,10,49,61.12244897959184,0.6670283806343906,0.22923371848843577,0.009267205927860078,0.003646266694334294,93.69616026711185,70.70833036682032,0.2389829158782959,610,610,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",126.85121060003307,3.240953122428694,0.24606895446777344,586,586,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",81.91243508982902,1.5121432502524985,0.5765352249145508,692,692,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=3720>",81.46345549799229,1.3577155195946877
